,substrate,material_id,film,hkl_sub,hkl_film,misfit_x,misfit_y,misfit_x_sub,misfit_y_sub,von_mises,termination,n_at,slab,substrate_density,film_density,substrate_charge_density,film_charge_density,abs_charge_density
0,Li8ZrO6,mp-755225,Li,"(0, 0, 1)","(1, 1, 1)",1.0,4.0,0.8,6.0,0.007,"('Li_R-3m_1', 'Zr_Fmmm_1')",191,Li8ZrO6_Li_001_111_191at_Li_R-3m_1_Zr_Fmmm_1,0.103,0.046,0.103,0.046,0.046
1,Li8ZrO6,mp-755225,Li,"(0, 0, 1)","(1, 1, 1)",1.0,4.0,0.8,6.0,0.007,"('Li_R-3m_1', 'Li2O2_Cm_2')",191,Li8ZrO6_Li_001_111_191at_Li_R-3m_1_Li2O2_Cm_2,0.137,0.046,-0.068,0.046,0.046
2,Li8ZrO6,mp-755225,Li,"(0, 0, 1)","(1, 1, 1)",1.0,4.0,0.8,6.0,0.007,"('Li_R-3m_1', 'O2_Fmmm_1')",191,Li8ZrO6_Li_001_111_191at_Li_R-3m_1_O2_Fmmm_1,0.137,0.046,-0.068,0.046,0.046
3,Li8ZrO6,mp-755225,Li,"(1, 1, 0)","(1, 0, 0)",4.1,5.0,3.7,10.0,0.018,"('Li_P4/mmm_1', 'Zr_P2/m_1')",268,Li8ZrO6_Li_110_100_268at_Li_P4mmm_1_Zr_P2m_1,0.122,0.084,0.03,0.084,0.084
4,Li8ZrO6,mp-755225,Li,"(1, 1, 0)","(1, 0, 0)",4.1,5.0,3.7,10.0,0.018,"('Li_P4/mmm_1', 'LiO2_P1_3')",268,Li8ZrO6_Li_110_100_268at_Li_P4mmm_1_LiO2_P1_3,0.122,0.084,0.03,0.084,0.084
5,Li8ZrO6,mp-755225,Li,"(1, 1, 0)","(1, 0, 0)",4.1,5.0,3.7,10.0,0.018,"('Li_P4/mmm_1', 'Li_P2/m_1')",268,Li8ZrO6_Li_110_100_268at_Li_P4mmm_1_Li_P2m_1,0.091,0.084,0.091,0.084,0.084
6,Li8ZrO6,mp-755225,Li,"(1, 1, 0)","(1, 1, 0)",0.4,5.0,2.0,0.0,0.023,"('Li_Cmmm_1', 'Zr_P2/m_1')",69,Li8ZrO6_Li_110_110_69at_Li_Cmmm_1_Zr_P2m_1,0.122,0.122,0.03,0.122,0.122
7,Li8ZrO6,mp-755225,Li,"(1, 1, 0)","(1, 1, 0)",0.4,5.0,2.0,0.0,0.023,"('Li_Cmmm_1', 'LiO2_P1_3')",69,Li8ZrO6_Li_110_110_69at_Li_Cmmm_1_LiO2_P1_3,0.122,0.122,0.03,0.122,0.122
8,Li8ZrO6,mp-755225,Li,"(1, 1, 1)","(1, 1, 0)",3.1,1.0,0.8,4.0,0.017,"('Li_Cmmm_1', 'O2_R3_3')",150,Li8ZrO6_Li_111_110_150at_Li_Cmmm_1_O2_R3_3,0.117,0.129,-0.233,0.129,0.129
9,Li8ZrO6,mp-755225,Li,"(1, 1, 1)","(1, 1, 0)",3.1,1.0,0.8,4.0,0.017,"('Li_Cmmm_1', 'Li_R3_3')",150,Li8ZrO6_Li_111_110_150at_Li_Cmmm_1_Li_R3_3,0.233,0.129,-0.117,0.129,0.129
10,Li8ZrO6,mp-755225,Li,"(1, 1, 1)","(1, 1, 1)",1.0,1.0,0.8,2.0,0.019,"('Li_R-3m_1', 'O2_R3_3')",146,Li8ZrO6_Li_111_111_146at_Li_R-3m_1_O2_R3_3,0.117,0.052,-0.233,0.052,0.052
11,Li8ZrO6,mp-755225,Li,"(1, 1, 1)","(1, 1, 1)",1.0,1.0,0.8,2.0,0.019,"('Li_R-3m_1', 'Li_R3_3')",146,Li8ZrO6_Li_111_111_146at_Li_R-3m_1_Li_R3_3,0.233,0.052,-0.117,0.052,0.052
