,substrate,material_id,film,hkl_sub,hkl_film,misfit_x,misfit_y,misfit_x_sub,misfit_y_sub,von_mises,termination,n_at,slab,substrate_density,film_density,substrate_charge_density,film_charge_density,abs_charge_density
0,Li10Ge(PS6)2,mp-755225,Li8ZrO6,"(0, 0, 1)","(1, 0, 1)",1.7,5.0,0.4,4.0,0.015,"('Zr_P2/m_1', 'LiS2_P1_3')",360,Li10Ge(PS6)2_Li8ZrO6_001_101_360at_Zr_P2m_1_LiS2_P1_3,0.052,0.122,-0.065,0.03,0.03
1,Li10Ge(PS6)2,mp-755225,Li8ZrO6,"(0, 0, 1)","(1, 0, 1)",1.7,5.0,0.4,4.0,0.015,"('Zr_P2/m_1', 'S_P-1_2')",360,Li10Ge(PS6)2_Li8ZrO6_001_101_360at_Zr_P2m_1_S_P-1_2,0.065,0.122,-0.091,0.03,0.03
2,Li10Ge(PS6)2,mp-755225,Li8ZrO6,"(0, 0, 1)","(1, 0, 1)",1.7,5.0,0.4,4.0,0.015,"('Zr_P2/m_1', 'Li_Pmmm_1')",360,Li10Ge(PS6)2_Li8ZrO6_001_101_360at_Zr_P2m_1_Li_Pmmm_1,0.078,0.122,-0.078,0.03,0.03
3,Li10Ge(PS6)2,mp-755225,Li8ZrO6,"(0, 0, 1)","(1, 0, 1)",1.7,5.0,0.4,4.0,0.015,"('Zr_P2/m_1', 'LiPS2_P1_4')",360,Li10Ge(PS6)2_Li8ZrO6_001_101_360at_Zr_P2m_1_LiPS2_P1_4,0.052,0.122,0.026,0.03,0.03
4,Li10Ge(PS6)2,mp-755225,Li8ZrO6,"(0, 0, 1)","(1, 0, 1)",1.7,5.0,0.4,4.0,0.015,"('Zr_P2/m_1', 'LiS_P1_4')",360,Li10Ge(PS6)2_Li8ZrO6_001_101_360at_Zr_P2m_1_LiS_P1_4,0.052,0.122,-0.026,0.03,0.03
5,Li10Ge(PS6)2,mp-755225,Li8ZrO6,"(0, 0, 1)","(1, 0, 1)",1.7,5.0,0.4,4.0,0.015,"('Zr_P2/m_1', 'S_P1_4')",360,Li10Ge(PS6)2_Li8ZrO6_001_101_360at_Zr_P2m_1_S_P1_4,0.065,0.122,-0.091,0.03,0.03
6,Li10Ge(PS6)2,mp-755225,Li8ZrO6,"(0, 0, 1)","(1, 0, 1)",1.7,5.0,0.4,4.0,0.015,"('Zr_P2/m_1', 'Li2S_P1_3')",360,Li10Ge(PS6)2_Li8ZrO6_001_101_360at_Zr_P2m_1_Li2S_P1_3,0.065,0.122,-0.052,0.03,0.03
7,Li10Ge(PS6)2,mp-755225,Li8ZrO6,"(0, 0, 1)","(1, 0, 1)",1.7,5.0,0.4,4.0,0.015,"('Zr_P2/m_1', 'S_Pmmm_1')",360,Li10Ge(PS6)2_Li8ZrO6_001_101_360at_Zr_P2m_1_S_Pmmm_1,0.052,0.122,-0.026,0.03,0.03
8,Li10Ge(PS6)2,mp-755225,Li8ZrO6,"(0, 0, 1)","(1, 0, 1)",1.7,5.0,0.4,4.0,0.015,"('Zr_P2/m_1', 'LiS4_P1_5')",360,Li10Ge(PS6)2_Li8ZrO6_001_101_360at_Zr_P2m_1_LiS4_P1_5,0.065,0.122,-0.091,0.03,0.03
9,Li10Ge(PS6)2,mp-755225,Li8ZrO6,"(0, 0, 1)","(1, 0, 1)",1.7,5.0,0.4,4.0,0.015,"('LiO2_P1_3', 'LiS2_P1_3')",360,Li10Ge(PS6)2_Li8ZrO6_001_101_360at_LiO2_P1_3_LiS2_P1_3,0.052,0.122,-0.065,0.03,0.03
10,Li10Ge(PS6)2,mp-755225,Li8ZrO6,"(0, 0, 1)","(1, 0, 1)",1.7,5.0,0.4,4.0,0.015,"('LiO2_P1_3', 'S_P-1_2')",360,Li10Ge(PS6)2_Li8ZrO6_001_101_360at_LiO2_P1_3_S_P-1_2,0.065,0.122,-0.091,0.03,0.03
11,Li10Ge(PS6)2,mp-755225,Li8ZrO6,"(0, 0, 1)","(1, 0, 1)",1.7,5.0,0.4,4.0,0.015,"('LiO2_P1_3', 'Li_Pmmm_1')",360,Li10Ge(PS6)2_Li8ZrO6_001_101_360at_LiO2_P1_3_Li_Pmmm_1,0.078,0.122,-0.078,0.03,0.03
12,Li10Ge(PS6)2,mp-755225,Li8ZrO6,"(0, 0, 1)","(1, 0, 1)",1.7,5.0,0.4,4.0,0.015,"('LiO2_P1_3', 'LiPS2_P1_4')",360,Li10Ge(PS6)2_Li8ZrO6_001_101_360at_LiO2_P1_3_LiPS2_P1_4,0.052,0.122,0.026,0.03,0.03
13,Li10Ge(PS6)2,mp-755225,Li8ZrO6,"(0, 0, 1)","(1, 0, 1)",1.7,5.0,0.4,4.0,0.015,"('LiO2_P1_3', 'LiS_P1_4')",360,Li10Ge(PS6)2_Li8ZrO6_001_101_360at_LiO2_P1_3_LiS_P1_4,0.052,0.122,-0.026,0.03,0.03
14,Li10Ge(PS6)2,mp-755225,Li8ZrO6,"(0, 0, 1)","(1, 0, 1)",1.7,5.0,0.4,4.0,0.015,"('LiO2_P1_3', 'S_P1_4')",360,Li10Ge(PS6)2_Li8ZrO6_001_101_360at_LiO2_P1_3_S_P1_4,0.065,0.122,-0.091,0.03,0.03
15,Li10Ge(PS6)2,mp-755225,Li8ZrO6,"(0, 0, 1)","(1, 0, 1)",1.7,5.0,0.4,4.0,0.015,"('LiO2_P1_3', 'Li2S_P1_3')",360,Li10Ge(PS6)2_Li8ZrO6_001_101_360at_LiO2_P1_3_Li2S_P1_3,0.065,0.122,-0.052,0.03,0.03
16,Li10Ge(PS6)2,mp-755225,Li8ZrO6,"(0, 0, 1)","(1, 0, 1)",1.7,5.0,0.4,4.0,0.015,"('LiO2_P1_3', 'S_Pmmm_1')",360,Li10Ge(PS6)2_Li8ZrO6_001_101_360at_LiO2_P1_3_S_Pmmm_1,0.052,0.122,-0.026,0.03,0.03
17,Li10Ge(PS6)2,mp-755225,Li8ZrO6,"(0, 0, 1)","(1, 0, 1)",1.7,5.0,0.4,4.0,0.015,"('LiO2_P1_3', 'LiS4_P1_5')",360,Li10Ge(PS6)2_Li8ZrO6_001_101_360at_LiO2_P1_3_LiS4_P1_5,0.065,0.122,-0.091,0.03,0.03
18,Li10Ge(PS6)2,mp-755225,Li8ZrO6,"(0, 0, 1)","(1, 0, 1)",1.7,5.0,0.4,4.0,0.015,"('Li_P2/m_1', 'LiS2_P1_3')",360,Li10Ge(PS6)2_Li8ZrO6_001_101_360at_Li_P2m_1_LiS2_P1_3,0.052,0.091,-0.065,0.091,0.091
19,Li10Ge(PS6)2,mp-755225,Li8ZrO6,"(0, 0, 1)","(1, 0, 1)",1.7,5.0,0.4,4.0,0.015,"('Li_P2/m_1', 'S_P-1_2')",360,Li10Ge(PS6)2_Li8ZrO6_001_101_360at_Li_P2m_1_S_P-1_2,0.065,0.091,-0.091,0.091,0.091
20,Li10Ge(PS6)2,mp-755225,Li8ZrO6,"(0, 0, 1)","(1, 0, 1)",1.7,5.0,0.4,4.0,0.015,"('Li_P2/m_1', 'Li_Pmmm_1')",360,Li10Ge(PS6)2_Li8ZrO6_001_101_360at_Li_P2m_1_Li_Pmmm_1,0.078,0.091,-0.078,0.091,0.091
