,substrate,film,hkl_sub,hkl_film,misfit,misfit_sub,termination,n_at,slab,substrate_density,film_density,substrate_charge_density,film_charge_density
0,Li3BN2,Li,"(0, 0, 1)","(1, 0, 0)","[np.float64(2.0), np.float64(2.0)]","[np.float64(1.2), np.float64(4.0)]","('Li_P4/mmm_1', 'LiBN2_Cmmm_4')",156,Li3BN2_Li_001_100_156at_Li_P4mmm_1_LiBN2_Cmmm_4,0.1877594996967066,0.08449177486351797,-0.0938797498483533,0.08449177486351797
1,LiBeN,Li,"(0, 0, 1)","(1, 0, 0)","[np.float64(3.0), np.float64(3.0)]","[np.float64(2.0), np.float64(2.0)]","('Li_P4/mmm_1', 'N2_Pmmm_1')",124,LiBeN_Li_001_100_124at_Li_P4mmm_1_N2_Pmmm_1,0.14105055932934885,0.08227949294212017,0.0,0.08227949294212017
2,LiCl,Li,"(0, 0, 1)","(1, 0, 0)","[np.float64(3.1), np.float64(1.0)]","[np.float64(0.0), np.float64(6.0)]","('Li_P4/mmm_1', 'Cl2_P6/mmm_1')",76,LiCl_Li_001_100_76at_Li_P4mmm_1_Cl2_P6mmm_1,0.14991534678763935,0.08745061895945629,0.0,0.08745061895945629
3,LiCl,Li,"(0, 0, 1)","(1, 1, 1)","[np.float64(1.8), np.float64(5.0)]","[np.float64(5.6), np.float64(18.0)]","('Li_R-3m_1', 'Cl2_P6/mmm_1')",158,LiCl_Li_001_111_158at_Li_R-3m_1_Cl2_P6mmm_1,0.14991534678763938,0.05189377388802901,0.0,0.05189377388802901
4,Li3BO3,Li,"(0, 0, 1)","(1, 1, 1)","[np.float64(1.0), np.float64(4.0)]","[np.float64(0.1), np.float64(6.0)]","('Li_R-3m_1', 'Li2O2_P1_4')",148,Li3BO3_Li_001_111_148at_Li_R-3m_1_Li2O2_P1_4,0.1359411490102369,0.05097793087883884,-0.06797057450511845,0.05097793087883884
5,Li8SiO6,Li,"(0, 0, 1)","(1, 1, 0)","[np.float64(4.4), np.float64(3.0)]","[np.float64(1.6), np.float64(12.0)]","('Li_Cmmm_1', 'Si_P6/mmm_1')",117,Li8SiO6_Li_001_110_117at_Li_Cmmm_1_Si_P6mmm_1,0.1598607955793177,0.11989559668448828,-0.07993039778965885,0.11989559668448828
6,Li8SiO6,Li,"(0, 0, 1)","(1, 1, 0)","[np.float64(4.4), np.float64(3.0)]","[np.float64(1.6), np.float64(12.0)]","('Li_Cmmm_1', 'Li_P-62m_3')",117,Li8SiO6_Li_001_110_117at_Li_Cmmm_1_Li_P-62m_3,0.19982599447414714,0.11989559668448828,-0.039965198894829426,0.11989559668448828
7,Li8SiO6,Li,"(0, 0, 1)","(1, 1, 0)","[np.float64(4.4), np.float64(3.0)]","[np.float64(1.6), np.float64(12.0)]","('Li_Cmmm_1', 'O2_P6/mmm_2')",117,Li8SiO6_Li_001_110_117at_Li_Cmmm_1_O2_P6mmm_2,0.11989559668448828,0.11989559668448828,-0.23979119336897656,0.11989559668448828
8,Li8SiO6,Li,"(0, 0, 1)","(1, 1, 0)","[np.float64(4.4), np.float64(3.0)]","[np.float64(1.6), np.float64(12.0)]","('Li_Cmmm_1', 'O2_P-62m_3')",117,Li8SiO6_Li_001_110_117at_Li_Cmmm_1_O2_P-62m_3,0.19982599447414714,0.11989559668448828,-0.1598607955793177,0.11989559668448828
9,Li3ClO,Li,"(0, 0, 1)","(1, 0, 0)","[np.float64(1.2), np.float64(4.0)]","[np.float64(1.0), np.float64(1.0)]","('Li_P4/mmm_1', 'LiCl_P4/mmm_2')",60,Li3ClO_Li_001_100_60at_Li_P4mmm_1_LiCl_P4mmm_2,0.1309320559630867,0.08183253497692919,0.0,0.08183253497692919
