,substrate,material_id,film,hkl_sub,hkl_film,misfit_x,misfit_y,misfit_x_sub,misfit_y_sub,von_mises,termination,n_at,slab,substrate_density,film_density,substrate_charge_density,film_charge_density,abs_charge_density
0,Li3GaN2,mp-3887,Li,"(1, 1, 0)","(1, 1, 0)",3.0,4.0,2.0,0.0,0.022,"('Li_Cmmm_1', 'Li2N_P-1_12')",135,Li3GaN2_Li_110_110_135at_Li_Cmmm_1_Li2N_P-1_12,0.107,0.116,-0.036,0.116,0.116
1,Li3GaN2,mp-3887,Li,"(1, 1, 0)","(1, 1, 0)",3.0,4.0,2.0,0.0,0.022,"('Li_Cmmm_1', 'Li2N_P-1_12')",135,Li3GaN2_Li_110_110_135at_Li_Cmmm_1_Li2N_P-1_12,0.107,0.116,-0.036,0.116,0.116
2,Li3GaN2,mp-3887,Li,"(1, 1, 0)","(1, 1, 0)",3.0,4.0,2.0,0.0,0.022,"('Li_Cmmm_1', 'Li2N_P-1_12')",135,Li3GaN2_Li_110_110_135at_Li_Cmmm_1_Li2N_P-1_12,0.107,0.116,-0.036,0.116,0.116
3,LiH,mp-23703,Li,"(1, 1, 0)","(1, 0, 0)",2.0,2.0,4.6,12.0,0.005,"('Li_P4/mmm_1', 'LiH_P4/mmm_2')",128,LiH_Li_110_100_128at_Li_P4mmm_1_LiH_P4mmm_2,0.248,0.083,0.0,0.083,0.083
4,LiH,mp-23703,Li,"(1, 1, 0)","(1, 0, 0)",2.0,2.0,4.6,12.0,0.005,"('Li_P4/mmm_1', 'LiH_P4/mmm_2')",128,LiH_Li_110_100_128at_Li_P4mmm_1_LiH_P4mmm_2,0.248,0.083,0.0,0.083,0.083
5,LiH,mp-23703,Li,"(1, 1, 0)","(1, 0, 0)",2.0,2.0,4.6,12.0,0.005,"('Li_P4/mmm_1', 'LiH_P4/mmm_2')",128,LiH_Li_110_100_128at_Li_P4mmm_1_LiH_P4mmm_2,0.248,0.083,0.0,0.083,0.083
6,Li2Te,mp-2530,Li,"(0, 0, 1)","(1, 1, 0)",3.0,4.0,2.0,5.0,0.012,"('Li_Cmmm_1', 'Te_R-3m_1')",51,Li2Te_Li_001_110_51at_Li_Cmmm_1_Te_R-3m_1,0.054,0.122,-0.109,0.122,0.122
7,Li2Te,mp-2530,Li,"(1, 1, 1)","(1, 1, 0)",3.0,4.0,2.0,5.0,0.012,"('Li_Cmmm_1', 'Te_R-3m_1')",51,Li2Te_Li_111_110_51at_Li_Cmmm_1_Te_R-3m_1,0.054,0.122,-0.109,0.122,0.122
8,Li2Te,mp-2530,Li,"(0, 0, 1)","(1, 1, 0)",3.0,4.0,2.0,5.0,0.012,"('Li_Cmmm_1', 'Te_R-3m_1')",51,Li2Te_Li_001_110_51at_Li_Cmmm_1_Te_R-3m_1,0.054,0.122,-0.109,0.122,0.122
9,Li2Te,mp-2530,Li,"(1, 1, 1)","(1, 1, 0)",3.0,4.0,2.0,5.0,0.012,"('Li_Cmmm_1', 'Te_R-3m_1')",51,Li2Te_Li_111_110_51at_Li_Cmmm_1_Te_R-3m_1,0.054,0.122,-0.109,0.122,0.122
10,Li2Te,mp-2530,Li,"(0, 0, 1)","(1, 1, 0)",3.0,4.0,2.0,5.0,0.012,"('Li_Cmmm_1', 'Te_R-3m_1')",51,Li2Te_Li_001_110_51at_Li_Cmmm_1_Te_R-3m_1,0.054,0.122,-0.109,0.122,0.122
11,Li2Te,mp-2530,Li,"(1, 1, 1)","(1, 1, 0)",3.0,4.0,2.0,5.0,0.012,"('Li_Cmmm_1', 'Te_R-3m_1')",51,Li2Te_Li_111_110_51at_Li_Cmmm_1_Te_R-3m_1,0.054,0.122,-0.109,0.122,0.122
12,LiBr,mp-976280,Li,"(0, 0, 1)","(1, 1, 0)",5.0,2.0,6.5,19.0,0.013,"('Li_Cmmm_1', 'Br_P6/mmm_1')",53,LiBr_Li_001_110_53at_Li_Cmmm_1_Br_P6mmm_1,0.067,0.118,-0.067,0.118,0.118
13,LiBr,mp-976280,Li,"(0, 0, 1)","(1, 1, 1)",0.4,2.0,1.0,1.0,0.011,"('Li_R-3m_1', 'Br_P6/mmm_1')",50,LiBr_Li_001_111_50at_Li_R-3m_1_Br_P6mmm_1,0.067,0.051,-0.067,0.051,0.051
14,LiBr,mp-976280,Li,"(0, 0, 1)","(1, 1, 0)",5.0,2.0,6.5,19.0,0.013,"('Li_Cmmm_1', 'Br_P6/mmm_1')",53,LiBr_Li_001_110_53at_Li_Cmmm_1_Br_P6mmm_1,0.067,0.118,-0.067,0.118,0.118
15,LiBr,mp-976280,Li,"(0, 0, 1)","(1, 1, 1)",0.4,2.0,1.0,1.0,0.011,"('Li_R-3m_1', 'Br_P6/mmm_1')",50,LiBr_Li_001_111_50at_Li_R-3m_1_Br_P6mmm_1,0.067,0.051,-0.067,0.051,0.051
16,LiBr,mp-976280,Li,"(0, 0, 1)","(1, 1, 0)",5.0,2.0,6.5,19.0,0.013,"('Li_Cmmm_1', 'Br_P6/mmm_1')",53,LiBr_Li_001_110_53at_Li_Cmmm_1_Br_P6mmm_1,0.067,0.118,-0.067,0.118,0.118
17,LiBr,mp-976280,Li,"(0, 0, 1)","(1, 1, 1)",0.4,2.0,1.0,1.0,0.011,"('Li_R-3m_1', 'Br_P6/mmm_1')",50,LiBr_Li_001_111_50at_Li_R-3m_1_Br_P6mmm_1,0.067,0.051,-0.067,0.051,0.051
18,LiGdO2,mp-754204,Li,"(0, 0, 1)","(1, 0, 0)",2.2,4.0,0.7,4.0,0.014,"('Li_P4/mmm_1', 'LiGdO2_Cmmm_4')",108,LiGdO2_Li_001_100_108at_Li_P4mmm_1_LiGdO2_Cmmm_4,0.118,0.088,0.0,0.088,0.088
19,LiGdO2,mp-754204,Li,"(1, 1, 0)","(1, 1, 1)",2.2,4.0,2.4,3.0,0.012,"('Li_R-3m_1', 'O2_Pmma_2')",144,LiGdO2_Li_110_111_144at_Li_R-3m_1_O2_Pmma_2,0.05,0.05,-0.101,0.05,0.05
20,LiGdO2,mp-754204,Li,"(0, 0, 1)","(1, 0, 0)",2.2,4.0,0.7,4.0,0.014,"('Li_P4/mmm_1', 'LiGdO2_Cmmm_4')",108,LiGdO2_Li_001_100_108at_Li_P4mmm_1_LiGdO2_Cmmm_4,0.118,0.088,0.0,0.088,0.088
21,LiGdO2,mp-754204,Li,"(1, 1, 0)","(1, 1, 1)",2.2,4.0,2.4,3.0,0.012,"('Li_R-3m_1', 'O2_Pmma_2')",144,LiGdO2_Li_110_111_144at_Li_R-3m_1_O2_Pmma_2,0.05,0.05,-0.101,0.05,0.05
22,LiGdO2,mp-754204,Li,"(0, 0, 1)","(1, 0, 0)",2.2,4.0,0.7,4.0,0.014,"('Li_P4/mmm_1', 'LiGdO2_Cmmm_4')",108,LiGdO2_Li_001_100_108at_Li_P4mmm_1_LiGdO2_Cmmm_4,0.118,0.088,0.0,0.088,0.088
23,LiGdO2,mp-754204,Li,"(1, 1, 0)","(1, 1, 1)",2.2,4.0,2.4,3.0,0.012,"('Li_R-3m_1', 'O2_Pmma_2')",144,LiGdO2_Li_110_111_144at_Li_R-3m_1_O2_Pmma_2,0.05,0.05,-0.101,0.05,0.05
24,Li2HN,mp-1189725,Li,"(0, 0, 1)","(1, 0, 0)",0.4,5.0,3.0,0.0,0.014,"('Li_P4/mmm_1', 'LiH_Pm_2')",44,Li2HN_Li_001_100_44at_Li_P4mmm_1_LiH_Pm_2,0.169,0.085,-0.056,0.085,0.085
25,Li2HN,mp-1189725,Li,"(0, 0, 1)","(1, 0, 0)",0.4,5.0,3.0,0.0,0.014,"('Li_P4/mmm_1', 'N2_Pmmm_1')",44,Li2HN_Li_001_100_44at_Li_P4mmm_1_N2_Pmmm_1,0.169,0.085,-0.056,0.085,0.085
26,Li2HN,mp-1189725,Li,"(0, 0, 1)","(1, 0, 0)",0.4,5.0,3.0,0.0,0.014,"('Li_P4/mmm_1', 'Li_Pmmm_1')",44,Li2HN_Li_001_100_44at_Li_P4mmm_1_Li_Pmmm_1,0.169,0.085,-0.056,0.085,0.085
27,Li2HN,mp-1189725,Li,"(0, 0, 1)","(1, 0, 0)",0.4,5.0,3.0,0.0,0.014,"('Li_P4/mmm_1', 'LiH_Pm_2')",44,Li2HN_Li_001_100_44at_Li_P4mmm_1_LiH_Pm_2,0.169,0.085,-0.056,0.085,0.085
28,Li2HN,mp-1189725,Li,"(0, 0, 1)","(1, 0, 0)",0.4,5.0,3.0,0.0,0.014,"('Li_P4/mmm_1', 'N2_Pmmm_1')",44,Li2HN_Li_001_100_44at_Li_P4mmm_1_N2_Pmmm_1,0.169,0.085,-0.056,0.085,0.085
29,Li2HN,mp-1189725,Li,"(0, 0, 1)","(1, 0, 0)",0.4,5.0,3.0,0.0,0.014,"('Li_P4/mmm_1', 'Li_Pmmm_1')",44,Li2HN_Li_001_100_44at_Li_P4mmm_1_Li_Pmmm_1,0.169,0.085,-0.056,0.085,0.085
30,Li2HN,mp-1189725,Li,"(0, 0, 1)","(1, 0, 0)",0.4,5.0,3.0,0.0,0.014,"('Li_P4/mmm_1', 'LiH_Pm_2')",44,Li2HN_Li_001_100_44at_Li_P4mmm_1_LiH_Pm_2,0.169,0.085,-0.056,0.085,0.085
31,Li2HN,mp-1189725,Li,"(0, 0, 1)","(1, 0, 0)",0.4,5.0,3.0,0.0,0.014,"('Li_P4/mmm_1', 'N2_Pmmm_1')",44,Li2HN_Li_001_100_44at_Li_P4mmm_1_N2_Pmmm_1,0.169,0.085,-0.056,0.085,0.085
32,Li2HN,mp-1189725,Li,"(0, 0, 1)","(1, 0, 0)",0.4,5.0,3.0,0.0,0.014,"('Li_P4/mmm_1', 'Li_Pmmm_1')",44,Li2HN_Li_001_100_44at_Li_P4mmm_1_Li_Pmmm_1,0.169,0.085,-0.056,0.085,0.085
33,LiI,mp-570935,Li,"(0, 0, 1)","(1, 1, 0)",3.0,4.0,2.0,5.0,0.017,"('Li_Cmmm_1', 'I_P6/mmm_1')",40,LiI_Li_001_110_40at_Li_Cmmm_1_I_P6mmm_1,0.056,0.112,-0.056,0.112,0.112
34,LiI,mp-570935,Li,"(0, 0, 1)","(1, 1, 0)",3.0,4.0,2.0,5.0,0.017,"('Li_Cmmm_1', 'I_P6/mmm_1')",40,LiI_Li_001_110_40at_Li_Cmmm_1_I_P6mmm_1,0.056,0.112,-0.056,0.112,0.112
35,LiI,mp-570935,Li,"(0, 0, 1)","(1, 1, 0)",3.0,4.0,2.0,5.0,0.017,"('Li_Cmmm_1', 'I_P6/mmm_1')",40,LiI_Li_001_110_40at_Li_Cmmm_1_I_P6mmm_1,0.056,0.112,-0.056,0.112,0.112
