Substrate,Film,Substrate Miller,Film Miller,"Misfit, %",Termination,n_at,Slab
LiCoO2,Li2SO4,(104),(001),"3.0, 1.0",,,
LiCoO2,Li2SO4,(104),(310),"0.0, 0.0",,,
,,(104),(310),"0.0, 0.0","('Li2SO4_P1_14', 'LiCoO2_P2/m_4')",228.0,LiCoO2_Li2SO4_104_310_228at_Li2SO4_P1_14_LiCoO2_P2m_4
,,(104),(310),"0.0, 0.0","('Li6S2O9_P1_17', 'LiCoO2_P2/m_4')",228.0,LiCoO2_Li2SO4_104_310_228at_Li6S2O9_P1_17_LiCoO2_P2m_4
,,(104),(310),"0.0, 0.0","('Li3(SO3)2_P1_22', 'LiCoO2_P2/m_4')",228.0,LiCoO2_Li2SO4_104_310_228at_Li3(SO3)2_P1_22_LiCoO2_P2m_4
,,(104),(310),"0.0, 0.0","('Li3S2O7_P1_24', 'LiCoO2_P2/m_4')",228.0,LiCoO2_Li2SO4_104_310_228at_Li3S2O7_P1_24_LiCoO2_P2m_4
,,(104),(310),"0.0, 0.0","('Li8S4O15_P1_27', 'LiCoO2_P2/m_4')",228.0,LiCoO2_Li2SO4_104_310_228at_Li8S4O15_P1_27_LiCoO2_P2m_4
,,(104),(310),"0.0, 0.0","('Li2SO4_P-1_28', 'LiCoO2_P2/m_4')",228.0,LiCoO2_Li2SO4_104_310_228at_Li2SO4_P-1_28_LiCoO2_P2m_4
LiCoO2,Li2SO4,(100),(10-1),"1.1, 1.0",,,
,,(100),(10-1),"1.1, 1.0","('SO2_Pm_3', 'LiCoO2_Pmmm_4')",292.0,LiCoO2_Li2SO4_100_10-1_292at_SO2_Pm_3_LiCoO2_Pmmm_4
,,(100),(10-1),"1.1, 1.0","('SO2_Pm_3', 'LiCoO2_Pmmm_4')",356.0,LiCoO2_Li2SO4_100_10-1_356at_SO2_Pm_3_LiCoO2_Pmmm_4
,,(100),(10-1),"1.1, 1.0","('O2_Pmmm_1', 'LiCoO2_Pmmm_4')",292.0,LiCoO2_Li2SO4_100_10-1_292at_O2_Pmmm_1_LiCoO2_Pmmm_4
,,(100),(10-1),"1.1, 1.0","('O2_Pmmm_1', 'LiCoO2_Pmmm_4')",356.0,LiCoO2_Li2SO4_100_10-1_356at_O2_Pmmm_1_LiCoO2_Pmmm_4
,,(100),(10-1),"1.1, 1.0","('Li_P-1_2', 'LiCoO2_Pmmm_4')",292.0,LiCoO2_Li2SO4_100_10-1_292at_Li_P-1_2_LiCoO2_Pmmm_4
,,(100),(10-1),"1.1, 1.0","('Li_P-1_2', 'LiCoO2_Pmmm_4')",356.0,LiCoO2_Li2SO4_100_10-1_356at_Li_P-1_2_LiCoO2_Pmmm_4
LiCoO2,Li2SO4,(012),(001),"2.0, 0.0",,,
,,(012),(001),"2.0, 0.0","('Li2O2_P1_2', 'O2_P2_1/m_2')",76.0,LiCoO2_Li2SO4_012_001_76at_Li2O2_P1_2_O2_P2_1m_2
,,(012),(001),"2.0, 0.0","('Li2O2_P1_2', 'O2_P2_1/m_2')",152.0,LiCoO2_Li2SO4_012_001_152at_Li2O2_P1_2_O2_P2_1m_2
,,(012),(001),"2.0, 0.0","('Li2O2_P1_2', 'O2_P2_1/m_2')",228.0,LiCoO2_Li2SO4_012_001_228at_Li2O2_P1_2_O2_P2_1m_2
,,(012),(001),"2.0, 0.0","('Li2O2_P1_2', 'O2_P2_1/m_2')",304.0,LiCoO2_Li2SO4_012_001_304at_Li2O2_P1_2_O2_P2_1m_2
,,(012),(001),"2.0, 0.0","('Li2O2_P1_2', 'O2_P2_1/m_2')",320.0,LiCoO2_Li2SO4_012_001_320at_Li2O2_P1_2_O2_P2_1m_2
,,(012),(001),"2.0, 0.0","('Li2O2_P1_2', 'O2_P2_1/m_2')",364.0,LiCoO2_Li2SO4_012_001_364at_Li2O2_P1_2_O2_P2_1m_2
,,(012),(001),"2.0, 0.0","('Li2O2_P1_2', 'O2_P2_1/m_2')",380.0,LiCoO2_Li2SO4_012_001_380at_Li2O2_P1_2_O2_P2_1m_2
,,(012),(001),"2.0, 0.0","('Li2O2_P1_2', 'O2_P2_1/m_2')",396.0,LiCoO2_Li2SO4_012_001_396at_Li2O2_P1_2_O2_P2_1m_2
