formula_pretty,energy_above_hull,Delta_R_mm,match_atoms,dop_element,matrix_element,dop_oxi,matrix_oxi,Delta_R_md,abs_Delta_R_md,abs_Delta_eln,coordination,name_maxr,name_mine,concentration,electrons_nuber,E_mine_UP,E_maxr_UP,calc_name_mine,calc_name_maxr,d_energy_dft,concentration_dft,bond_energy_dft
Li3AlN2,0.0,0.34,"['Li', 'Al']",Ge,Al,4.0,3.0,0.0,0.0,0.4,4,POSCAR_mp-13944_Li3AlN2_Ge_Al_max_r,POSCAR_mp-13944_Li3AlN2_Ge_Al_min_e,0.07,256.0,-495.4672546386719,-495.2755737304688,mp-13944_Li3AlN2_Ge_Al_min_e_c4.1mm.1,mp-13944_Li3AlN2_Ge_Al_max_r_c4.1mm.1,-0.02121953749997374,1.959472978183842,-0.2245096399999511
Sr2LiCBr3N2,0.0,0.36,"['Sr', 'Li']",La,Sr,3.0,2.0,-0.13,0.13,0.15,6,POSCAR_mp-569782_Sr2LiCBr3N2_La_Sr_max_r,POSCAR_mp-569782_Sr2LiCBr3N2_La_Sr_min_e,0.03,896.0,-787.2032470703125,-787.156494140625,mp-569782_Sr2LiCBr3N2_La_Sr_min_e_c6.1mm.1,mp-569782_Sr2LiCBr3N2_La_Sr_max_r_c6.1mm.1,-0.18824722749999978,2.1125315915558542,-0.050344240000072205
LiGdO2,0.04,0.37,"['Li', 'Gd']",Mg,Li,2.0,1.0,-0.03,0.03,0.33,4,POSCAR_mp-754204_LiGdO2_Mg_Li_max_r,POSCAR_mp-754204_LiGdO2_Mg_Li_min_e,0.07,496.0,-592.18896484375,-592.2348022460938,mp-754204_LiGdO2_Mg_Li_min_e_c4.1mm.1,mp-754204_LiGdO2_Mg_Li_max_r_c4.1mm.1,-13.702713296250039,3.971105848212754e+34,0.09640064000006987
LiGdO2,0.04,0.37,"['Li', 'Gd']",Ta,Gd,4.0,3.0,-0.28,0.28,0.3,6,POSCAR_mp-754204_LiGdO2_Ta_Gd_max_r,POSCAR_mp-754204_LiGdO2_Ta_Gd_min_e,0.07,482.0,-588.4679565429688,-588.4776000976562,mp-754204_LiGdO2_Ta_Gd_min_e_c6.1mm.1,mp-754204_LiGdO2_Ta_Gd_max_r_c6.1mm.1,-17.957495246249962,2.1983628947996372e+45,No
LiGdO2,0.04,0.37,"['Li', 'Gd']",Zr,Gd,4.0,3.0,-0.23,0.23,0.13,6,POSCAR_mp-754204_LiGdO2_Zr_Gd_max_r,POSCAR_mp-754204_LiGdO2_Zr_Gd_min_e,0.07,489.0,-586.8049926757812,-586.8870239257812,mp-754204_LiGdO2_Zr_Gd_min_e_c6.1mm.1,mp-754204_LiGdO2_Zr_Gd_max_r_c6.1mm.1,-25.564313237500006,3.540550322445009e+64,6.024137930000052
Li3GaN2,0.0,0.2,"['Li', 'Ga']",Ge,Ga,4.0,3.0,-0.17,0.17,0.2,4,POSCAR_mp-3887_Li3GaN2_Ge_Ga_max_r,POSCAR_mp-3887_Li3GaN2_Ge_Ga_min_e,0.07,256.0,-457.4402465820313,-457.3161926269531,mp-3887_Li3GaN2_Ge_Ga_min_e_c4.1mm.1,mp-3887_Li3GaN2_Ge_Ga_max_r_c4.1mm.1,0.06228489499995149,1.2058499388830075,-0.13273270000001958
Li3AlN2,0.0,0.34,"['Li', 'Al']",Ti,Al,4.0,3.0,0.08,0.08,0.07,4,POSCAR_mp-13944_Li3AlN2_Ti_Al_max_r,POSCAR_mp-13944_Li3AlN2_Ti_Al_min_e,0.07,256.0,-501.8304443359375,-501.5885620117188,mp-13944_Li3AlN2_Ti_Al_min_e_c4.1mm.1,mp-13944_Li3AlN2_Ti_Al_max_r_c4.1mm.1,0.2055506918750183,0.5242660378235103,-0.28811757999994825
Li3GaN2,0.0,0.2,"['Li', 'Ga']",Ti,Ga,4.0,3.0,-0.11,0.11,0.27,4,POSCAR_mp-3887_Li3GaN2_Ti_Ga_max_r,POSCAR_mp-3887_Li3GaN2_Ti_Ga_min_e,0.07,256.0,-463.8689575195313,-463.7279052734375,mp-3887_Li3GaN2_Ti_Ga_min_e_c4.1mm.1,mp-3887_Li3GaN2_Ti_Ga_max_r_c4.1mm.1,0.2078193368750263,0.5173964790990448,-0.1776611899999807
Li2Te,0.0,-1.0,no,Mg,Li,2.0,1.0,-0.03,0.03,0.33,4,POSCAR_mp-2530_Li2Te_Mg_Li_max_r,POSCAR_mp-2530_Li2Te_Mg_Li_min_e,0.02,256.0,-316.5039978027344,-316.2747802734375,mp-2530_Li2Te_Mg_Li_min_e_c4.1mm.1,mp-2530_Li2Te_Mg_Li_max_r_c4.1mm.1,0.3558889350000527,0.1262966574527314,-0.21090133999996397
LiI,0.0,-1.0,no,Mg,Li,2.0,1.0,-0.03,0.03,0.33,4,POSCAR_mp-570935_LiI_Mg_Li_max_r,POSCAR_mp-570935_LiI_Mg_Li_min_e,0.17,64.0,-42.80728149414063,-42.56889724731445,mp-570935_LiI_Mg_Li_min_e_c4.1mm.1,mp-570935_LiI_Mg_Li_max_r_c4.1mm.1,0.3699715500000025,0.11636803628925096,-0.2447888700000007
