material_id,formula_pretty,energy_above_hull,Delta_R_mm,match_atoms,dop_element,matrix_element,dop_oxi,matrix_oxi,Delta_R_md,abs_Delta_R_md,abs_Delta_eln,coordination,name,electrons,C_sc,E_maxr_mlip,E_mine_mlip,e3d,formation_dft,formation2_dft,C_T1000,C_T300,bonding_dft,effective_e3d_dft,formation_mlip,bonding_mlip
mp-8926,Li3BN2,0.0,0.98,"['Li', 'B']",Mg,Li,2.0,1.0,-0.03,0.03,0.33,4,mp-8926_Li3BN2_Mg_Li_coord_4,256,0.02,-541.7220458984375,-542.3800048828125,0.376,0.646,1.227,0.0007977455027555771,1.0276451177536387e-08,0.581,0.957,1.223,0.658
mp-1138,LiF,0.0,-1.0,no,Mg,Li,2.0,1.0,-0.05,0.05,0.33,6,mp-1138_LiF_Mg_Li_coord_6,256,0.03,-305.4250793457031,-305.5814514160156,0.622,0.588,0.726,0.014684977704859518,0.0010124837209273259,0.138,0.76,0.398,0.156
mp-2530,Li2Te,0.0,-1.0,no,Mg,Li,2.0,1.0,-0.03,0.03,0.33,4,mp-2530_Li2Te_Mg_Li_coord_4,256,0.02,-316.2747802734375,-316.5039978027344,0.492,0.356,0.567,0.037012054285110015,0.0006200819478370087,0.211,0.703,0.408,0.229
mp-2286,Li2Se,0.0,-1.0,no,Mg,Li,2.0,1.0,-0.03,0.03,0.33,4,mp-2286_Li2Se_Mg_Li_coord_4,256,0.02,-347.6434936523437,-347.899658203125,0.696,0.465,0.754,0.012478839236872112,4.610928934499908e-05,0.289,0.985,0.375,0.256
mp-976280,LiBr,0.0,-1.0,no,Mg,Li,2.0,1.0,-0.03,0.03,0.33,4,mp-976280_LiBr_Mg_Li_coord_4,64,0.17,-48.61313247680664,-48.89388275146485,0.403,0.489,0.78,0.01072815461382822,3.8133453950612075e-05,0.291,0.694,0.419,0.281
mp-557964,Li9S3N,0.0,-1.0,no,Mg,Li,2.0,1.0,-0.05,0.05,0.33,6,mp-557964_Li9S3N_Mg_Li_coord_6,256,0.01,-407.2699279785156,-407.43853759765625,0.42,2.724,2.877,5.440856851360748e-08,2.7511679397185626e-09,0.154,0.574,0.291,0.169
mp-557964,Li9S3N,0.0,-1.0,no,Mg,Li,2.0,1.0,-0.03,0.03,0.33,4,mp-557964_Li9S3N_Mg_Li_coord_4,256,0.01,-407.5360412597656,-408.0582885742188,0.42,2.055,2.267,1.887546806208321e-06,3.04207913936377e-08,0.213,0.633,-0.329,0.522
mp-14712,Li7PN4,0.0,0.71,"['Li', 'P']",Mg,Li,2.0,1.0,-0.03,0.03,0.33,4,mp-14712_Li7PN4_Mg_Li_coord_4,256,0.02,-481.1909790039063,-481.9791564941406,0.278,0.839,1.812,2.659243660063996e-05,1.7196715971491862e-13,0.973,1.251,0.65,0.788
mp-14712,Li7PN4,0.0,0.71,"['Li', 'P']",S,P,6.0,5.0,-0.29,0.29,0.39,4,mp-14712_Li7PN4_S_P_coord_4,256,0.14,-478.1277465820313,-478.3342590332031,0.278,0.848,1.097,0.004494270560437298,3.6052537889208034e-05,0.249,0.527,0.926,0.207
mp-11737,Li4SiO4,0.0,0.56,"['Li', 'Si']",Mg,Li,2.0,1.0,-0.13,0.13,0.33,5,mp-11737_Li4SiO4_Mg_Li_coord_5,256,0.03,-428.9161987304688,-429.1758117675781,0.667,1.256,1.54,0.00012928537700902673,5.263158437112652e-07,0.284,0.951,1.051,0.26
mp-11737,Li4SiO4,0.0,0.56,"['Li', 'Si']",Mg,Li,2.0,1.0,-0.03,0.03,0.33,4,mp-11737_Li4SiO4_Mg_Li_coord_4,256,0.03,-428.5189514160156,-429.2710571289063,0.667,1.137,1.943,1.2416160994553424e-05,2.04286748188817e-12,0.806,1.473,0.956,0.752
mp-11737,Li4SiO4,0.0,0.56,"['Li', 'Si']",Mn,Si,5.0,4.0,0.27,0.27,0.35,4,mp-11737_Li4SiO4_Mn_Si_coord_4,258,0.14,-423.4296875,-424.1007995605469,0.667,0.423,1.202,0.0018450942616614395,5.12293128931899e-10,0.779,1.446,1.248,0.671
mp-11737,Li4SiO4,0.0,0.56,"['Li', 'Si']",As,Si,5.0,4.0,0.29,0.29,0.28,4,mp-11737_Li4SiO4_As_Si_coord_4,256,0.14,-422.3782958984375,-423.2121276855469,0.667,1.201,2.048,1.3486389535597359e-05,1.022083013595763e-12,0.846,1.513,1.007,0.834
mp-23703,LiH,0.0,-1.0,no,Mg,Li,2.0,1.0,-0.05,0.05,0.33,6,mp-23703_LiH_Mg_Li_coord_6,64,0.03,-190.7905120849609,-190.79000854492188,0.468,0.505,0.716,0.015564062663675899,0.0002607527325666984,0.211,0.679,0.089,-0.001
mp-13944,Li3AlN2,0.0,0.34,"['Li', 'Al']",Ge,Al,4.0,3.0,0.0,0.0,0.4,4,mp-13944_Li3AlN2_Ge_Al_coord_4,256,0.07,-495.2755126953125,-495.4672546386719,0.205,-0.021,0.203,0.5320986290856689,0.00692919464675284,0.224,0.429,-0.113,0.192
mp-13944,Li3AlN2,0.0,0.34,"['Li', 'Al']",Mg,Li,2.0,1.0,-0.03,0.03,0.33,4,mp-13944_Li3AlN2_Mg_Li_coord_4,256,0.02,-495.913330078125,-496.303955078125,0.205,0.697,1.172,0.0010983420226382185,1.1037525751191361e-07,0.475,0.68,0.489,0.391
mp-13944,Li3AlN2,0.0,0.34,"['Li', 'Al']",Mn,Al,4.0,3.0,0.0,0.0,0.06,4,mp-13944_Li3AlN2_Mn_Al_coord_4,259,0.07,-499.3159484863281,-499.322021484375,0.205,1.141,1.337,0.0007289177416103338,1.633175342923671e-05,0.196,0.401,0.819,0.006
mp-13944,Li3AlN2,0.0,0.34,"['Li', 'Al']",Co,Al,4.0,3.0,0.03,0.03,0.27,4,mp-13944_Li3AlN2_Co_Al_coord_4,261,0.07,-495.8045349121094,-495.6875915527344,0.205,1.672,2.101,8.582286958206942e-06,2.1032887977272283e-09,0.429,0.634,1.209,-0.117
