material_id,crystal_system,space_group,theoretical,reduction_limit,oxidation_limit,reduction_reaction,oxidation_reaction,formula_pretty,chemsys,nsites,energy_above_hull,band_gap,is_stable
mp-1211494,Monoclinic,P2_1/c,True,0.28,6.13,4 KLiHoF5 -> 4 KLiHoF5,4 KLiHoF5 -> 2 KHo2F7 + 2 KF3 + 4 Li,KLiHoF5,F-Ho-K-Li,32,0.0,7.38,True
mp-1960,Cubic,Fm-3m,False,0.0,2.88,Li2O -> Li2O,Li2O -> 0.5 Li2O2 + Li,Li2O,Li-O,3,0.0,4.9,True
mp-7137,Orthorhombic,Pnma,False,0.0,2.96,4 LiTbO2 -> 4 LiTbO2,4 LiTbO2 -> Li2O2 + 2 Tb2O3 + 2 Li,LiTbO2,Li-O-Tb,16,0.0,4.55,True
mp-10251,Monoclinic,P2_1/c,False,0.0,2.98,4 LiDyO2 -> 4 LiDyO2,4 LiDyO2 -> Li2O2 + 2 Dy2O3 + 2 Li,LiDyO2,Dy-Li-O,16,0.01,3.96,False
mp-976726,Orthorhombic,Pnma,False,0.0,2.98,4 LiDyO2 -> 4 LiDyO2,4 LiDyO2 -> Li2O2 + 2 Dy2O3 + 2 Li,LiDyO2,Dy-Li-O,16,0.0,4.56,True
mp-30228,Tetragonal,I4_1/a,False,0.0,0.25,2 Li4HN -> 2 Li4HN,2 Li4HN -> 2 Li2HN + 4 Li,Li4HN,H-Li-N,12,0.0,2.07,True
mp-1190809,Tetragonal,I4_1md,False,0.0,0.53,2 Li8TeN2 -> 2 Li8TeN2,2 Li8TeN2 -> 2 Li2Te + 1.333 LiN3 + 10.67 Li,Li8TeN2,Li-N-Te,22,0.0,2.24,True
mp-8926,Tetragonal,P4_2/mnm,False,0.0,0.87,2 Li3BN2 -> 2 Li3BN2,2 Li3BN2 -> 2 BN + 0.6667 LiN3 + 5.333 Li,Li3BN2,B-Li-N,12,0.0,3.45,False
mp-23364,Tetragonal,P4/nmm,False,0.0,4.3,2 CsLiCl2 -> 2 CsLiCl2,2 CsLiCl2 -> Cl2 + 2 CsCl + 2 Li,CsLiCl2,Cl-Cs-Li,8,0.01,5.03,False
mp-568273,Hexagonal,P6_3/mmc,False,0.0,2.84,2 LiI -> 2 LiI,2 LiI -> 2 I + 2 Li,LiI,I-Li,4,0.03,4.23,False
mp-29463,Monoclinic,P2_1/c,False,0.0,0.87,4 LiBeN -> 4 LiBeN,4 LiBeN -> 1.333 Be3N2 + 0.4444 LiN3 + 3.556 Li,LiBeN,Be-Li-N,12,0.0,2.08,True
mp-1147554,Tetragonal,P4/nmm,True,0.0,2.0,2 LiLaSO -> La2SO2 + Li2S,2 LiLaSO -> 2 LaSO + 2 Li,LiLaSO,La-Li-O-S,8,0.01,3.17,False
mp-8001,Trigonal,R-3m,False,0.17,3.48,LiAlO2 -> LiAlO2,LiAlO2 -> 0.09091 Al11O18 + 0.04545 LiO8 + 0.9545 Li,LiAlO2,Al-Li-O,4,0.0,6.12,True
mp-754237,Tetragonal,I4_1/amd,True,0.0,3.04,2 LiTmO2 -> 2 LiTmO2,2 LiTmO2 -> 0.5 Li2O2 + Tm2O3 + Li,LiTmO2,Li-O-Tm,8,0.0,4.32,False
mp-21332,Orthorhombic,Pnma,False,0.0,2.93,4 LiGdO2 -> 4 LiGdO2,4 LiGdO2 -> Li2O2 + 2 Gd2O3 + 2 Li,LiGdO2,Gd-Li-O,16,0.0,3.28,True
mp-1198740,Tetragonal,I4_1/acd,False,0.05,2.88,4 Li7Nd3Zr2O12 -> 4 Li6Zr2O7 + 2 Li2O + 6 Nd2O3,4 Li7Nd3Zr2O12 -> 4 Li6Zr2O7 + Li2O2 + 6 Nd2O3 + 2 Li,Li7Nd3Zr2O12,Li-Nd-O-Zr,96,0.01,4.27,False
mp-1020108,Monoclinic,C2/m,False,0.15,0.83,2 LiCaMgSiN3 -> 0.2222 LiCa3Si2N5 + 0.4444 Li4Ca2Mg(SiN3)2 + 0.4444 CaMg3SiN4 + 0.2222 MgSiN2,2 LiCaMgSiN3 -> 0.5 LiCa3Si2N5 + 0.5 CaMg3SiN4 + 0.5 MgSiN2 + 0.1667 LiN3 + 1.333 Li,LiCaMgSiN3,Ca-Li-Mg-N-Si,14,0.0,2.84,False
mp-1036537,Orthorhombic,Pmmm,True,0.17,3.48,LiMg14AlO16 -> 14 MgO + LiAlO2,LiMg14AlO16 -> 0.04545 LiO8 + 0.09091 Al11O18 + 14 MgO + 0.9545 Li,LiMg14AlO16,Al-Li-Mg-O,32,0.02,4.29,False
mp-1185319,Hexagonal,P6_3mc,True,0.0,4.27,2 LiCl -> 2 LiCl,2 LiCl -> Cl2 + 2 Li,LiCl,Cl-Li,4,0.0,5.74,False
mp-571666,Orthorhombic,Cmcm,True,0.0,4.27,2 CsLi3Cl4 -> 2 CsLiCl2 + 4 LiCl,2 CsLi3Cl4 -> 2 CsLiCl2 + 2 Cl2 + 4 Li,CsLi3Cl4,Cl-Cs-Li,16,0.03,5.27,False
mp-27275,Monoclinic,P2_1/c,False,0.29,3.43,4 Li3BO3 -> 4 Li3BO3,4 Li3BO3 -> Li6B4O9 + 0.375 LiO8 + 5.625 Li,Li3BO3,B-Li-O,28,0.0,5.15,True
mp-28592,Tetragonal,I4/mmm,False,0.0,2.88,Li7Br3O2 -> 2 Li2O + 3 LiBr,Li7Br3O2 -> Li2O2 + 3 LiBr + 2 Li,Li7Br3O2,Br-Li-O,12,0.03,4.25,False
mp-1040126,Tetragonal,P4/mmm,True,0.07,2.88,LiLaMg30O32 -> 0.5 Li2O + 0.5 La2O3 + 30 MgO,LiLaMg30O32 -> 0.25 Li2O2 + 0.5 La2O3 + 30 MgO + 0.5 Li,LiLaMg30O32,La-Li-Mg-O,64,0.05,4.0,False
mp-12645,Monoclinic,P2_1/c,False,0.0,2.96,4 LiHoO2 -> 4 LiHoO2,4 LiHoO2 -> Li2O2 + 2 Ho2O3 + 2 Li,LiHoO2,Ho-Li-O,16,0.0,4.02,True
