,substrate,material_id,film,hkl_sub,hkl_film,misfit_x,misfit_y,misfit_x_sub,misfit_y_sub,von_mises,termination,n_at,slab,substrate_density,film_density,substrate_charge_density,film_charge_density,abs_charge_density
0,LiH,mp-23703,Li10Ge(PS6)2,"(0, 0, 1)","(0, 0, 1)",1.3,3.0,11.5,43.0,0.006,"('LiS2_P1_3', 'Li_R-3m_1')",122,LiH_Li10Ge(PS6)2_001_001_122at_LiS2_P1_3_Li_R-3m_1,0.143,0.064,0.143,-0.08,-0.08
1,LiH,mp-23703,Li10Ge(PS6)2,"(0, 0, 1)","(0, 0, 1)",1.3,3.0,11.5,43.0,0.006,"('S_P-1_2', 'Li_R-3m_1')",122,LiH_Li10Ge(PS6)2_001_001_122at_S_P-1_2_Li_R-3m_1,0.143,0.08,0.143,-0.111,-0.111
2,LiH,mp-23703,Li10Ge(PS6)2,"(0, 0, 1)","(0, 0, 1)",1.3,3.0,11.5,43.0,0.006,"('Li_Pmmm_1', 'Li_R-3m_1')",122,LiH_Li10Ge(PS6)2_001_001_122at_Li_Pmmm_1_Li_R-3m_1,0.143,0.095,0.143,-0.095,-0.095
3,LiH,mp-23703,Li10Ge(PS6)2,"(0, 0, 1)","(0, 0, 1)",1.3,3.0,11.5,43.0,0.006,"('S_P1_4', 'Li_R-3m_1')",122,LiH_Li10Ge(PS6)2_001_001_122at_S_P1_4_Li_R-3m_1,0.143,0.08,0.143,-0.111,-0.111
4,LiH,mp-23703,Li10Ge(PS6)2,"(0, 0, 1)","(0, 0, 1)",1.3,3.0,11.5,43.0,0.006,"('Li2S_P1_3', 'Li_R-3m_1')",122,LiH_Li10Ge(PS6)2_001_001_122at_Li2S_P1_3_Li_R-3m_1,0.143,0.08,0.143,-0.064,-0.064
5,LiH,mp-23703,Li10Ge(PS6)2,"(0, 0, 1)","(0, 0, 1)",1.3,3.0,11.5,43.0,0.006,"('LiS4_P1_5', 'Li_R-3m_1')",122,LiH_Li10Ge(PS6)2_001_001_122at_LiS4_P1_5_Li_R-3m_1,0.143,0.08,0.143,-0.111,-0.111
6,LiH,mp-23703,Li10Ge(PS6)2,"(1, 1, 0)","(0, 0, 1)",0.0,4.0,2.0,15.0,0.019,"('LiS2_P1_3', 'LiH_P4/mmm_2')",122,LiH_Li10Ge(PS6)2_110_001_122at_LiS2_P1_3_LiH_P4mmm_2,0.248,0.055,0.0,-0.069,-0.069
7,LiH,mp-23703,Li10Ge(PS6)2,"(1, 1, 0)","(0, 0, 1)",0.0,4.0,2.0,15.0,0.019,"('S_P-1_2', 'LiH_P4/mmm_2')",122,LiH_Li10Ge(PS6)2_110_001_122at_S_P-1_2_LiH_P4mmm_2,0.248,0.069,0.0,-0.096,-0.096
8,LiH,mp-23703,Li10Ge(PS6)2,"(1, 1, 0)","(0, 0, 1)",0.0,4.0,2.0,15.0,0.019,"('Li_Pmmm_1', 'LiH_P4/mmm_2')",122,LiH_Li10Ge(PS6)2_110_001_122at_Li_Pmmm_1_LiH_P4mmm_2,0.248,0.083,0.0,-0.083,-0.083
9,LiH,mp-23703,Li10Ge(PS6)2,"(1, 1, 0)","(0, 0, 1)",0.0,4.0,2.0,15.0,0.019,"('LiPS2_P1_4', 'LiH_P4/mmm_2')",122,LiH_Li10Ge(PS6)2_110_001_122at_LiPS2_P1_4_LiH_P4mmm_2,0.248,0.055,0.0,0.028,0.028
10,LiH,mp-23703,Li10Ge(PS6)2,"(1, 1, 0)","(0, 0, 1)",0.0,4.0,2.0,15.0,0.019,"('LiS_P1_4', 'LiH_P4/mmm_2')",122,LiH_Li10Ge(PS6)2_110_001_122at_LiS_P1_4_LiH_P4mmm_2,0.248,0.055,0.0,-0.028,-0.028
11,LiH,mp-23703,Li10Ge(PS6)2,"(1, 1, 0)","(0, 0, 1)",0.0,4.0,2.0,15.0,0.019,"('S_P1_4', 'LiH_P4/mmm_2')",122,LiH_Li10Ge(PS6)2_110_001_122at_S_P1_4_LiH_P4mmm_2,0.248,0.069,0.0,-0.096,-0.096
12,LiH,mp-23703,Li10Ge(PS6)2,"(1, 1, 0)","(0, 0, 1)",0.0,4.0,2.0,15.0,0.019,"('Li2S_P1_3', 'LiH_P4/mmm_2')",122,LiH_Li10Ge(PS6)2_110_001_122at_Li2S_P1_3_LiH_P4mmm_2,0.248,0.069,0.0,-0.055,-0.055
13,LiH,mp-23703,Li10Ge(PS6)2,"(1, 1, 0)","(0, 0, 1)",0.0,4.0,2.0,15.0,0.019,"('S_Pmmm_1', 'LiH_P4/mmm_2')",122,LiH_Li10Ge(PS6)2_110_001_122at_S_Pmmm_1_LiH_P4mmm_2,0.248,0.055,0.0,-0.028,-0.028
14,LiH,mp-23703,Li10Ge(PS6)2,"(1, 1, 0)","(0, 0, 1)",0.0,4.0,2.0,15.0,0.019,"('LiS4_P1_5', 'LiH_P4/mmm_2')",122,LiH_Li10Ge(PS6)2_110_001_122at_LiS4_P1_5_LiH_P4mmm_2,0.248,0.069,0.0,-0.096,-0.096
15,LiH,mp-23703,Li10Ge(PS6)2,"(1, 1, 0)","(0, 1, 0)",0.0,1.0,2.0,8.0,0.012,"('Li2Ge(PS3)2_P1_11', 'LiH_P4/mmm_2')",162,LiH_Li10Ge(PS6)2_110_010_162at_Li2Ge(PS3)2_P1_11_LiH_P4mmm_2,0.248,0.097,0.0,0.035,0.035
16,LiH,mp-23703,Li10Ge(PS6)2,"(1, 1, 0)","(0, 1, 0)",0.0,1.0,2.0,8.0,0.012,"('Li_Pm_3', 'LiH_P4/mmm_2')",162,LiH_Li10Ge(PS6)2_110_010_162at_Li_Pm_3_LiH_P4mmm_2,0.248,0.062,0.0,-0.018,-0.018
17,LiH,mp-23703,Li10Ge(PS6)2,"(1, 1, 0)","(0, 1, 0)",0.0,1.0,2.0,8.0,0.012,"('Li3S_P1_8', 'LiH_P4/mmm_2')",162,LiH_Li10Ge(PS6)2_110_010_162at_Li3S_P1_8_LiH_P4mmm_2,0.248,0.071,0.0,0.018,0.018
18,LiH,mp-23703,Li10Ge(PS6)2,"(1, 1, 0)","(0, 1, 0)",0.0,1.0,2.0,8.0,0.012,"('S_Pmmm_1', 'LiH_P4/mmm_2')",162,LiH_Li10Ge(PS6)2_110_010_162at_S_Pmmm_1_LiH_P4mmm_2,0.248,0.053,0.0,-0.027,-0.027
19,LiH,mp-23703,Li10Ge(PS6)2,"(1, 1, 0)","(0, 1, 0)",0.0,1.0,2.0,8.0,0.012,"('Li3Ge(PS3)2_P1_12', 'LiH_P4/mmm_2')",162,LiH_Li10Ge(PS6)2_110_010_162at_Li3Ge(PS3)2_P1_12_LiH_P4mmm_2,0.248,0.106,0.0,0.044,0.044
20,LiH,mp-23703,Li10Ge(PS6)2,"(1, 1, 0)","(0, 1, 0)",0.0,1.0,2.0,8.0,0.012,"('Li4S3_P1_7', 'LiH_P4/mmm_2')",162,LiH_Li10Ge(PS6)2_110_010_162at_Li4S3_P1_7_LiH_P4mmm_2,0.248,0.089,0.0,0.009,0.009
21,LiH,mp-23703,Li10Ge(PS6)2,"(1, 1, 0)","(0, 1, 1)",0.0,1.0,2.0,10.0,0.015,"('Li3S_P1_4', 'LiH_P4/mmm_2')",186,LiH_Li10Ge(PS6)2_110_011_186at_Li3S_P1_4_LiH_P4mmm_2,0.248,0.051,0.0,-0.015,-0.015
22,LiH,mp-23703,Li10Ge(PS6)2,"(1, 1, 0)","(0, 1, 1)",0.0,1.0,2.0,10.0,0.015,"('Li2PS3_P1_12', 'LiH_P4/mmm_2')",186,LiH_Li10Ge(PS6)2_110_011_186at_Li2PS3_P1_12_LiH_P4mmm_2,0.248,0.073,0.0,0.044,0.044
23,LiH,mp-23703,Li10Ge(PS6)2,"(1, 1, 0)","(0, 1, 1)",0.0,1.0,2.0,10.0,0.015,"('Li2PS2_P1_5', 'LiH_P4/mmm_2')",186,LiH_Li10Ge(PS6)2_110_011_186at_Li2PS2_P1_5_LiH_P4mmm_2,0.248,0.058,0.0,0.0,0.0
24,LiH,mp-23703,Li10Ge(PS6)2,"(1, 1, 0)","(1, 0, 0)",0.0,2.0,2.6,42.0,0.013,"('Li2Ge(PS3)2_P1_11', 'LiH_P4/mmm_2')",162,LiH_Li10Ge(PS6)2_110_100_162at_Li2Ge(PS3)2_P1_11_LiH_P4mmm_2,0.248,0.097,0.0,0.035,0.035
25,LiH,mp-23703,Li10Ge(PS6)2,"(1, 1, 0)","(1, 0, 0)",0.0,2.0,2.6,42.0,0.013,"('Li4S3_P1_14', 'LiH_P4/mmm_2')",162,LiH_Li10Ge(PS6)2_110_100_162at_Li4S3_P1_14_LiH_P4mmm_2,0.248,0.106,0.0,0.0,0.0
26,LiH,mp-23703,Li10Ge(PS6)2,"(1, 1, 0)","(1, 0, 0)",0.0,2.0,2.6,42.0,0.013,"('Li3Ge(PS3)2_P1_12', 'LiH_P4/mmm_2')",162,LiH_Li10Ge(PS6)2_110_100_162at_Li3Ge(PS3)2_P1_12_LiH_P4mmm_2,0.248,0.106,0.0,0.044,0.044
27,LiH,mp-23703,Li10Ge(PS6)2,"(1, 1, 0)","(1, 0, 0)",0.0,2.0,2.6,42.0,0.013,"('Li7S6_P1_13', 'LiH_P4/mmm_2')",162,LiH_Li10Ge(PS6)2_110_100_162at_Li7S6_P1_13_LiH_P4mmm_2,0.248,0.089,0.0,0.009,0.009
28,LiH,mp-23703,Li10Ge(PS6)2,"(1, 1, 1)","(0, 0, 1)",1.3,3.0,11.5,43.0,0.006,"('LiS2_P1_3', 'Li_R-3m_1')",122,LiH_Li10Ge(PS6)2_111_001_122at_LiS2_P1_3_Li_R-3m_1,0.143,0.064,0.143,-0.08,-0.08
29,LiH,mp-23703,Li10Ge(PS6)2,"(1, 1, 1)","(0, 0, 1)",1.3,3.0,11.5,43.0,0.006,"('S_P-1_2', 'Li_R-3m_1')",122,LiH_Li10Ge(PS6)2_111_001_122at_S_P-1_2_Li_R-3m_1,0.143,0.08,0.143,-0.111,-0.111
30,LiH,mp-23703,Li10Ge(PS6)2,"(1, 1, 1)","(0, 0, 1)",1.3,3.0,11.5,43.0,0.006,"('Li_Pmmm_1', 'Li_R-3m_1')",122,LiH_Li10Ge(PS6)2_111_001_122at_Li_Pmmm_1_Li_R-3m_1,0.143,0.095,0.143,-0.095,-0.095
31,LiH,mp-23703,Li10Ge(PS6)2,"(1, 1, 1)","(0, 0, 1)",1.3,3.0,11.5,43.0,0.006,"('S_P1_4', 'Li_R-3m_1')",122,LiH_Li10Ge(PS6)2_111_001_122at_S_P1_4_Li_R-3m_1,0.143,0.08,0.143,-0.111,-0.111
32,LiH,mp-23703,Li10Ge(PS6)2,"(1, 1, 1)","(0, 0, 1)",1.3,3.0,11.5,43.0,0.006,"('Li2S_P1_3', 'Li_R-3m_1')",122,LiH_Li10Ge(PS6)2_111_001_122at_Li2S_P1_3_Li_R-3m_1,0.143,0.08,0.143,-0.064,-0.064
33,LiH,mp-23703,Li10Ge(PS6)2,"(1, 1, 1)","(0, 0, 1)",1.3,3.0,11.5,43.0,0.006,"('LiS4_P1_5', 'Li_R-3m_1')",122,LiH_Li10Ge(PS6)2_111_001_122at_LiS4_P1_5_Li_R-3m_1,0.143,0.08,0.143,-0.111,-0.111
34,LiGdO2,mp-754204,Li10Ge(PS6)2,"(1, 1, 0)","(0, 0, 1)",1.3,4.0,2.6,9.0,0.012,"('Li2P_Pm_3', 'O2_Pmma_2')",98,LiGdO2_Li10Ge(PS6)2_110_001_98at_Li2P_Pm_3_O2_Pmma_2,0.05,0.05,-0.101,0.101,0.101
35,LiGdO2,mp-754204,Li10Ge(PS6)2,"(1, 1, 0)","(0, 0, 1)",1.3,4.0,2.6,9.0,0.012,"('LiPS2_P1_4', 'O2_Pmma_2')",98,LiGdO2_Li10Ge(PS6)2_110_001_98at_LiPS2_P1_4_O2_Pmma_2,0.05,0.05,-0.101,0.025,0.025
36,Li2HN,mp-1189725,Li10Ge(PS6)2,"(0, 0, 1)","(0, 0, 1)",3.2,4.0,2.4,10.0,0.026,"('Li2P_Pm_3', 'LiH_Pm_2')",114,Li2HN_Li10Ge(PS6)2_001_001_114at_Li2P_Pm_3_LiH_Pm_2,0.169,0.056,-0.056,0.113,0.113
37,Li2HN,mp-1189725,Li10Ge(PS6)2,"(0, 0, 1)","(0, 0, 1)",3.2,4.0,2.4,10.0,0.026,"('Li2P_Pm_3', 'N2_Pmmm_1')",114,Li2HN_Li10Ge(PS6)2_001_001_114at_Li2P_Pm_3_N2_Pmmm_1,0.169,0.056,-0.056,0.113,0.113
38,Li2HN,mp-1189725,Li10Ge(PS6)2,"(0, 0, 1)","(0, 0, 1)",3.2,4.0,2.4,10.0,0.026,"('Li2P_Pm_3', 'Li_Pmmm_1')",114,Li2HN_Li10Ge(PS6)2_001_001_114at_Li2P_Pm_3_Li_Pmmm_1,0.169,0.056,-0.056,0.113,0.113
39,Li2HN,mp-1189725,Li10Ge(PS6)2,"(0, 0, 1)","(0, 0, 1)",3.2,4.0,2.4,10.0,0.026,"('LiPS2_P1_4', 'LiH_Pm_2')",114,Li2HN_Li10Ge(PS6)2_001_001_114at_LiPS2_P1_4_LiH_Pm_2,0.169,0.056,-0.056,0.028,0.028
40,Li2HN,mp-1189725,Li10Ge(PS6)2,"(0, 0, 1)","(0, 0, 1)",3.2,4.0,2.4,10.0,0.026,"('LiPS2_P1_4', 'N2_Pmmm_1')",114,Li2HN_Li10Ge(PS6)2_001_001_114at_LiPS2_P1_4_N2_Pmmm_1,0.169,0.056,-0.056,0.028,0.028
41,Li2HN,mp-1189725,Li10Ge(PS6)2,"(0, 0, 1)","(0, 0, 1)",3.2,4.0,2.4,10.0,0.026,"('LiPS2_P1_4', 'Li_Pmmm_1')",114,Li2HN_Li10Ge(PS6)2_001_001_114at_LiPS2_P1_4_Li_Pmmm_1,0.169,0.056,-0.056,0.028,0.028
42,Li2HN,mp-1189725,Li10Ge(PS6)2,"(0, 0, 1)","(0, 0, 1)",3.2,4.0,2.4,10.0,0.026,"('LiS_P1_4', 'LiH_Pm_2')",114,Li2HN_Li10Ge(PS6)2_001_001_114at_LiS_P1_4_LiH_Pm_2,0.169,0.056,-0.056,-0.028,-0.028
43,Li2HN,mp-1189725,Li10Ge(PS6)2,"(0, 0, 1)","(0, 0, 1)",3.2,4.0,2.4,10.0,0.026,"('LiS_P1_4', 'N2_Pmmm_1')",114,Li2HN_Li10Ge(PS6)2_001_001_114at_LiS_P1_4_N2_Pmmm_1,0.169,0.056,-0.056,-0.028,-0.028
44,Li2HN,mp-1189725,Li10Ge(PS6)2,"(0, 0, 1)","(0, 0, 1)",3.2,4.0,2.4,10.0,0.026,"('LiS_P1_4', 'Li_Pmmm_1')",114,Li2HN_Li10Ge(PS6)2_001_001_114at_LiS_P1_4_Li_Pmmm_1,0.169,0.056,-0.056,-0.028,-0.028
45,Li2HN,mp-1189725,Li10Ge(PS6)2,"(0, 0, 1)","(0, 0, 1)",3.2,4.0,2.4,10.0,0.026,"('S_Pmmm_1', 'LiH_Pm_2')",114,Li2HN_Li10Ge(PS6)2_001_001_114at_S_Pmmm_1_LiH_Pm_2,0.169,0.056,-0.056,-0.028,-0.028
46,Li2HN,mp-1189725,Li10Ge(PS6)2,"(0, 0, 1)","(0, 0, 1)",3.2,4.0,2.4,10.0,0.026,"('S_Pmmm_1', 'N2_Pmmm_1')",114,Li2HN_Li10Ge(PS6)2_001_001_114at_S_Pmmm_1_N2_Pmmm_1,0.169,0.056,-0.056,-0.028,-0.028
47,Li2HN,mp-1189725,Li10Ge(PS6)2,"(0, 0, 1)","(0, 0, 1)",3.2,4.0,2.4,10.0,0.026,"('S_Pmmm_1', 'Li_Pmmm_1')",114,Li2HN_Li10Ge(PS6)2_001_001_114at_S_Pmmm_1_Li_Pmmm_1,0.169,0.056,-0.056,-0.028,-0.028
48,Li2HN,mp-1189725,Li10Ge(PS6)2,"(0, 0, 1)","(1, 0, 1)",0.0,1.0,8.6,14.0,0.018,"('LiS_P1_4', 'LiH_Pm_2')",178,Li2HN_Li10Ge(PS6)2_001_101_178at_LiS_P1_4_LiH_Pm_2,0.169,0.071,-0.056,0.021,0.021
49,Li2HN,mp-1189725,Li10Ge(PS6)2,"(0, 0, 1)","(1, 0, 1)",0.0,1.0,8.6,14.0,0.018,"('LiS_P1_4', 'N2_Pmmm_1')",178,Li2HN_Li10Ge(PS6)2_001_101_178at_LiS_P1_4_N2_Pmmm_1,0.169,0.071,-0.056,0.021,0.021
50,Li2HN,mp-1189725,Li10Ge(PS6)2,"(0, 0, 1)","(1, 0, 1)",0.0,1.0,8.6,14.0,0.018,"('LiS_P1_4', 'Li_Pmmm_1')",178,Li2HN_Li10Ge(PS6)2_001_101_178at_LiS_P1_4_Li_Pmmm_1,0.169,0.071,-0.056,0.021,0.021
51,Li2HN,mp-1189725,Li10Ge(PS6)2,"(0, 0, 1)","(1, 0, 1)",0.0,1.0,8.6,14.0,0.018,"('Li2GeS4_P1_7', 'LiH_Pm_2')",178,Li2HN_Li10Ge(PS6)2_001_101_178at_Li2GeS4_P1_7_LiH_Pm_2,0.169,0.056,-0.056,-0.007,-0.007
52,Li2HN,mp-1189725,Li10Ge(PS6)2,"(0, 0, 1)","(1, 0, 1)",0.0,1.0,8.6,14.0,0.018,"('Li2GeS4_P1_7', 'N2_Pmmm_1')",178,Li2HN_Li10Ge(PS6)2_001_101_178at_Li2GeS4_P1_7_N2_Pmmm_1,0.169,0.056,-0.056,-0.007,-0.007
53,Li2HN,mp-1189725,Li10Ge(PS6)2,"(0, 0, 1)","(1, 0, 1)",0.0,1.0,8.6,14.0,0.018,"('Li2GeS4_P1_7', 'Li_Pmmm_1')",178,Li2HN_Li10Ge(PS6)2_001_101_178at_Li2GeS4_P1_7_Li_Pmmm_1,0.169,0.056,-0.056,-0.007,-0.007
54,Li2HN,mp-1189725,Li10Ge(PS6)2,"(0, 0, 1)","(1, 0, 1)",0.0,1.0,8.6,14.0,0.018,"('LiS_P1_2', 'LiH_Pm_2')",178,Li2HN_Li10Ge(PS6)2_001_101_178at_LiS_P1_2_LiH_Pm_2,0.169,0.056,-0.056,0.049,0.049
55,Li2HN,mp-1189725,Li10Ge(PS6)2,"(0, 0, 1)","(1, 0, 1)",0.0,1.0,8.6,14.0,0.018,"('LiS_P1_2', 'N2_Pmmm_1')",178,Li2HN_Li10Ge(PS6)2_001_101_178at_LiS_P1_2_N2_Pmmm_1,0.169,0.056,-0.056,0.049,0.049
56,Li2HN,mp-1189725,Li10Ge(PS6)2,"(0, 0, 1)","(1, 0, 1)",0.0,1.0,8.6,14.0,0.018,"('LiS_P1_2', 'Li_Pmmm_1')",178,Li2HN_Li10Ge(PS6)2_001_101_178at_LiS_P1_2_Li_Pmmm_1,0.169,0.056,-0.056,0.049,0.049
