Substrate,Film,Substrate Miller,Film Miller,"Misfit, %",Termination,n_at,Slab
LiCoO2,Li3PO4,(104),(310),"2.0, 0.0",,,
,,(104),(310),"2.0, 0.0","('LiPO_P1_3', 'LiCoO2_P2/m_4')",384.0,LiCoO2_Li3PO4_104_310_384at_LiPO_P1_3_LiCoO2_P2m_4
,,(104),(310),"2.0, 0.0","('Li2O3_P1_5', 'LiCoO2_P2/m_4')",384.0,LiCoO2_Li3PO4_104_310_384at_Li2O3_P1_5_LiCoO2_P2m_4
,,(104),(310),"2.0, 0.0","('Li_Cmmm_1', 'LiCoO2_P2/m_4')",384.0,LiCoO2_Li3PO4_104_310_384at_Li_Cmmm_1_LiCoO2_P2m_4
LiCoO2,Li3PO4,(012),(010),"1.6, 4.0",,,
,,(012),(010),"1.6, 4.0","('O2_Pmmm_1', 'O2_P2_1/m_2')",96.0,LiCoO2_Li3PO4_012_010_96at_O2_Pmmm_1_O2_P2_1m_2
,,(012),(010),"1.6, 4.0","('O2_Pmmm_1', 'O2_P2_1/m_2')",144.0,LiCoO2_Li3PO4_012_010_144at_O2_Pmmm_1_O2_P2_1m_2
,,(012),(010),"1.6, 4.0","('O2_Pmmm_1', 'O2_P2_1/m_2')",192.0,LiCoO2_Li3PO4_012_010_192at_O2_Pmmm_1_O2_P2_1m_2
,,(012),(010),"1.6, 4.0","('O2_Pmmm_1', 'O2_P2_1/m_2')",208.0,LiCoO2_Li3PO4_012_010_208at_O2_Pmmm_1_O2_P2_1m_2
,,(012),(010),"1.6, 4.0","('O2_Pmmm_1', 'O2_P2_1/m_2')",240.0,LiCoO2_Li3PO4_012_010_240at_O2_Pmmm_1_O2_P2_1m_2
,,(012),(010),"1.6, 4.0","('O2_Pmmm_1', 'O2_P2_1/m_2')",256.0,LiCoO2_Li3PO4_012_010_256at_O2_Pmmm_1_O2_P2_1m_2
,,(012),(010),"1.6, 4.0","('O2_Pmmm_1', 'O2_P2_1/m_2')",288.0,LiCoO2_Li3PO4_012_010_288at_O2_Pmmm_1_O2_P2_1m_2
,,(012),(010),"1.6, 4.0","('O2_Pmmm_1', 'O2_P2_1/m_2')",304.0,LiCoO2_Li3PO4_012_010_304at_O2_Pmmm_1_O2_P2_1m_2
,,(012),(010),"1.6, 4.0","('O2_Pmmm_1', 'O2_P2_1/m_2')",320.0,LiCoO2_Li3PO4_012_010_320at_O2_Pmmm_1_O2_P2_1m_2
,,(012),(010),"1.6, 4.0","('O2_Pmmm_1', 'O2_P2_1/m_2')",336.0,LiCoO2_Li3PO4_012_010_336at_O2_Pmmm_1_O2_P2_1m_2
,,(012),(010),"1.6, 4.0","('O2_Pmmm_1', 'O2_P2_1/m_2')",352.0,LiCoO2_Li3PO4_012_010_352at_O2_Pmmm_1_O2_P2_1m_2
,,(012),(010),"1.6, 4.0","('O2_Pmmm_1', 'O2_P2_1/m_2')",368.0,LiCoO2_Li3PO4_012_010_368at_O2_Pmmm_1_O2_P2_1m_2
,,(012),(010),"1.6, 4.0","('O2_Pmmm_1', 'O2_P2_1/m_2')",384.0,LiCoO2_Li3PO4_012_010_384at_O2_Pmmm_1_O2_P2_1m_2
,,(012),(010),"1.6, 4.0","('LiPO_Pm_3', 'O2_P2_1/m_2')",96.0,LiCoO2_Li3PO4_012_010_96at_LiPO_Pm_3_O2_P2_1m_2
,,(012),(010),"1.6, 4.0","('LiPO_Pm_3', 'O2_P2_1/m_2')",144.0,LiCoO2_Li3PO4_012_010_144at_LiPO_Pm_3_O2_P2_1m_2
,,(012),(010),"1.6, 4.0","('LiPO_Pm_3', 'O2_P2_1/m_2')",192.0,LiCoO2_Li3PO4_012_010_192at_LiPO_Pm_3_O2_P2_1m_2
