Substrate,Film,Substrate Miller,Film Miller,"Misfit, %",Termination,n_at,Slab
LiCoO2,Li2ZnCl4,(100),(100),"2.1, 1.0",,,
LiCoO2,Li2ZnCl4,(012),(001),"0.2, 2.0",,,
,,(012),(001),"0.2, 2.0","('Li_Pmma_4', 'O2_P2_1/m_2')",140.0,LiCoO2_Li2ZnCl4_012_001_140at_Li_Pmma_4_O2_P2_1m_2
,,(012),(001),"0.2, 2.0","('Li_Pmma_4', 'O2_P2_1/m_2')",248.0,LiCoO2_Li2ZnCl4_012_001_248at_Li_Pmma_4_O2_P2_1m_2
,,(012),(001),"0.2, 2.0","('Li_Pmma_4', 'O2_P2_1/m_2')",264.0,LiCoO2_Li2ZnCl4_012_001_264at_Li_Pmma_4_O2_P2_1m_2
,,(012),(001),"0.2, 2.0","('Li_Pmma_4', 'O2_P2_1/m_2')",280.0,LiCoO2_Li2ZnCl4_012_001_280at_Li_Pmma_4_O2_P2_1m_2
,,(012),(001),"0.2, 2.0","('Li_Pmma_4', 'O2_P2_1/m_2')",296.0,LiCoO2_Li2ZnCl4_012_001_296at_Li_Pmma_4_O2_P2_1m_2
,,(012),(001),"0.2, 2.0","('Li_Pmma_4', 'O2_P2_1/m_2')",312.0,LiCoO2_Li2ZnCl4_012_001_312at_Li_Pmma_4_O2_P2_1m_2
,,(012),(001),"0.2, 2.0","('Li_Pmma_4', 'O2_P2_1/m_2')",388.0,LiCoO2_Li2ZnCl4_012_001_388at_Li_Pmma_4_O2_P2_1m_2
,,(012),(001),"0.2, 2.0","('Zn_Pmmm_1', 'O2_P2_1/m_2')",140.0,LiCoO2_Li2ZnCl4_012_001_140at_Zn_Pmmm_1_O2_P2_1m_2
,,(012),(001),"0.2, 2.0","('Zn_Pmmm_1', 'O2_P2_1/m_2')",248.0,LiCoO2_Li2ZnCl4_012_001_248at_Zn_Pmmm_1_O2_P2_1m_2
,,(012),(001),"0.2, 2.0","('Zn_Pmmm_1', 'O2_P2_1/m_2')",264.0,LiCoO2_Li2ZnCl4_012_001_264at_Zn_Pmmm_1_O2_P2_1m_2
,,(012),(001),"0.2, 2.0","('Zn_Pmmm_1', 'O2_P2_1/m_2')",280.0,LiCoO2_Li2ZnCl4_012_001_280at_Zn_Pmmm_1_O2_P2_1m_2
,,(012),(001),"0.2, 2.0","('Zn_Pmmm_1', 'O2_P2_1/m_2')",296.0,LiCoO2_Li2ZnCl4_012_001_296at_Zn_Pmmm_1_O2_P2_1m_2
,,(012),(001),"0.2, 2.0","('Zn_Pmmm_1', 'O2_P2_1/m_2')",312.0,LiCoO2_Li2ZnCl4_012_001_312at_Zn_Pmmm_1_O2_P2_1m_2
,,(012),(001),"0.2, 2.0","('Zn_Pmmm_1', 'O2_P2_1/m_2')",388.0,LiCoO2_Li2ZnCl4_012_001_388at_Zn_Pmmm_1_O2_P2_1m_2
,,(012),(001),"0.2, 2.0","('Cl2_Pmmm_1', 'O2_P2_1/m_2')",140.0,LiCoO2_Li2ZnCl4_012_001_140at_Cl2_Pmmm_1_O2_P2_1m_2
,,(012),(001),"0.2, 2.0","('Cl2_Pmmm_1', 'O2_P2_1/m_2')",248.0,LiCoO2_Li2ZnCl4_012_001_248at_Cl2_Pmmm_1_O2_P2_1m_2
,,(012),(001),"0.2, 2.0","('Cl2_Pmmm_1', 'O2_P2_1/m_2')",264.0,LiCoO2_Li2ZnCl4_012_001_264at_Cl2_Pmmm_1_O2_P2_1m_2
,,(012),(001),"0.2, 2.0","('Cl2_Pmmm_1', 'O2_P2_1/m_2')",280.0,LiCoO2_Li2ZnCl4_012_001_280at_Cl2_Pmmm_1_O2_P2_1m_2
,,(012),(001),"0.2, 2.0","('Cl2_Pmmm_1', 'O2_P2_1/m_2')",296.0,LiCoO2_Li2ZnCl4_012_001_296at_Cl2_Pmmm_1_O2_P2_1m_2
,,(012),(001),"0.2, 2.0","('Cl2_Pmmm_1', 'O2_P2_1/m_2')",312.0,LiCoO2_Li2ZnCl4_012_001_312at_Cl2_Pmmm_1_O2_P2_1m_2
,,(012),(001),"0.2, 2.0","('Cl2_Pmmm_1', 'O2_P2_1/m_2')",388.0,LiCoO2_Li2ZnCl4_012_001_388at_Cl2_Pmmm_1_O2_P2_1m_2
LiCoO2,Li2ZnCl4,(012),(101),"1.0, 0.0",,,
,,(012),(101),"1.0, 0.0","('Li_Cmmm_4', 'O2_P2_1/m_2')",296.0,LiCoO2_Li2ZnCl4_012_101_296at_Li_Cmmm_4_O2_P2_1m_2
,,(012),(101),"1.0, 0.0","('Li_Cmmm_4', 'O2_P2_1/m_2')",312.0,LiCoO2_Li2ZnCl4_012_101_312at_Li_Cmmm_4_O2_P2_1m_2
,,(012),(101),"1.0, 0.0","('Li_Cmmm_4', 'O2_P2_1/m_2')",328.0,LiCoO2_Li2ZnCl4_012_101_328at_Li_Cmmm_4_O2_P2_1m_2
,,(012),(101),"1.0, 0.0","('Cl2_P2/m_2', 'O2_P2_1/m_2')",296.0,LiCoO2_Li2ZnCl4_012_101_296at_Cl2_P2m_2_O2_P2_1m_2
,,(012),(101),"1.0, 0.0","('Cl2_P2/m_2', 'O2_P2_1/m_2')",312.0,LiCoO2_Li2ZnCl4_012_101_312at_Cl2_P2m_2_O2_P2_1m_2
,,(012),(101),"1.0, 0.0","('Cl2_P2/m_2', 'O2_P2_1/m_2')",328.0,LiCoO2_Li2ZnCl4_012_101_328at_Cl2_P2m_2_O2_P2_1m_2
,,(012),(101),"1.0, 0.0","('Cl2_Pm_3', 'O2_P2_1/m_2')",296.0,LiCoO2_Li2ZnCl4_012_101_296at_Cl2_Pm_3_O2_P2_1m_2
,,(012),(101),"1.0, 0.0","('Cl2_Pm_3', 'O2_P2_1/m_2')",312.0,LiCoO2_Li2ZnCl4_012_101_312at_Cl2_Pm_3_O2_P2_1m_2
,,(012),(101),"1.0, 0.0","('Cl2_Pm_3', 'O2_P2_1/m_2')",328.0,LiCoO2_Li2ZnCl4_012_101_328at_Cl2_Pm_3_O2_P2_1m_2
,,(012),(101),"1.0, 0.0","('Cl2_P2/m_1', 'O2_P2_1/m_2')",296.0,LiCoO2_Li2ZnCl4_012_101_296at_Cl2_P2m_1_O2_P2_1m_2
,,(012),(101),"1.0, 0.0","('Cl2_P2/m_1', 'O2_P2_1/m_2')",312.0,LiCoO2_Li2ZnCl4_012_101_312at_Cl2_P2m_1_O2_P2_1m_2
,,(012),(101),"1.0, 0.0","('Cl2_P2/m_1', 'O2_P2_1/m_2')",328.0,LiCoO2_Li2ZnCl4_012_101_328at_Cl2_P2m_1_O2_P2_1m_2
,,(012),(101),"1.0, 0.0","('Li_Cmmm_2', 'O2_P2_1/m_2')",296.0,LiCoO2_Li2ZnCl4_012_101_296at_Li_Cmmm_2_O2_P2_1m_2
,,(012),(101),"1.0, 0.0","('Li_Cmmm_2', 'O2_P2_1/m_2')",312.0,LiCoO2_Li2ZnCl4_012_101_312at_Li_Cmmm_2_O2_P2_1m_2
,,(012),(101),"1.0, 0.0","('Li_Cmmm_2', 'O2_P2_1/m_2')",328.0,LiCoO2_Li2ZnCl4_012_101_328at_Li_Cmmm_2_O2_P2_1m_2
,,(012),(101),"1.0, 0.0","('Li2Cl_Pm_3', 'O2_P2_1/m_2')",296.0,LiCoO2_Li2ZnCl4_012_101_296at_Li2Cl_Pm_3_O2_P2_1m_2
,,(012),(101),"1.0, 0.0","('Li2Cl_Pm_3', 'O2_P2_1/m_2')",312.0,LiCoO2_Li2ZnCl4_012_101_312at_Li2Cl_Pm_3_O2_P2_1m_2
,,(012),(101),"1.0, 0.0","('Li2Cl_Pm_3', 'O2_P2_1/m_2')",328.0,LiCoO2_Li2ZnCl4_012_101_328at_Li2Cl_Pm_3_O2_P2_1m_2
,,(012),(101),"1.0, 0.0","('Li2ZnCl2_Pm_5', 'O2_P2_1/m_2')",296.0,LiCoO2_Li2ZnCl4_012_101_296at_Li2ZnCl2_Pm_5_O2_P2_1m_2
,,(012),(101),"1.0, 0.0","('Li2ZnCl2_Pm_5', 'O2_P2_1/m_2')",312.0,LiCoO2_Li2ZnCl4_012_101_312at_Li2ZnCl2_Pm_5_O2_P2_1m_2
